Date,Open,High,Low,Close,Adj Close,Volume
1957-01-01,46.200001,46.660000,46.200001,46.419998,46.419998,9430000
1957-01-08,46.250000,46.270000,45.860001,45.860001,45.860001,11720000
1957-01-15,45.180000,45.230000,44.400002,44.400002,44.400002,11860000
1957-01-22,44.529999,45.029999,44.490002,44.490002,44.490002,9460000
1957-01-29,44.709999,44.910000,44.529999,44.529999,44.529999,9100000
1957-02-05,43.889999,43.889999,42.570000,42.570000,42.570000,11420000
1957-02-12,42.389999,43.509998,42.389999,43.459999,43.459999,11010000
1957-02-19,43.490002,43.630001,43.380001,43.380001,43.380001,6850000
1957-02-26,43.450001,44.060001,43.259998,44.060001,44.060001,8410000
1957-03-05,44.220001,44.230000,43.779999,43.779999,43.779999,8810000
1957-03-12,43.750000,44.070000,43.750000,43.849998,43.849998,8070000
1957-03-19,44.040001,44.110001,43.880001,43.880001,43.880001,8200000
1957-03-26,43.910000,44.180000,43.910000,44.139999,44.139999,8570000
1957-04-02,44.419998,44.540001,44.389999,44.389999,44.389999,10060000
1957-04-09,44.790001,44.980000,44.790001,44.950001,44.950001,12050000
1957-04-16,45.020000,45.480000,45.020000,45.480000,45.480000,9220000
1957-04-23,45.650002,45.730000,45.500000,45.730000,45.730000,13140000
1957-04-30,45.740002,46.389999,45.740002,46.270000,46.270000,11970000
1957-05-07,46.130001,46.880001,46.130001,46.880001,46.880001,12560000
1957-05-14,46.669998,47.349998,46.669998,47.349998,47.349998,12670000
1957-05-21,47.330002,47.330002,46.779999,46.779999,46.779999,11170000
1957-05-28,46.689999,47.430000,46.689999,47.369999,47.369999,8440000
1957-06-04,47.279999,47.900002,47.270000,47.900002,47.900002,10870000
1957-06-11,47.939999,48.240002,47.939999,48.240002,48.240002,12390000
1957-06-18,48.040001,48.040001,46.779999,46.779999,46.779999,10720000
1957-06-25,47.150002,47.430000,47.090000,47.430000,47.430000,9280000
1957-07-02,47.900002,48.900002,47.900002,48.900002,48.900002,10250000
1957-07-09,48.900002,49.130001,48.860001,49.130001,49.130001,12880000
1957-07-16,48.880001,48.880001,48.470001,48.470001,48.470001,10580000
1957-07-23,48.560001,48.610001,47.919998,47.919998,47.919998,9070000
1957-07-30,47.919998,47.919998,47.259998,47.259998,47.259998,8670000
1957-08-06,46.669998,47.029999,46.330002,46.330002,46.330002,9280000
1957-08-13,46.299999,46.299999,44.910000,44.910000,44.910000,9170000
1957-08-20,45.290001,45.490002,43.889999,43.889999,43.889999,10560000
1957-08-27,44.610001,45.220001,44.459999,45.220001,45.220001,7320000
1957-09-03,45.439999,45.439999,44.279999,44.279999,44.279999,6910000
1957-09-10,43.869999,44.820000,43.869999,44.580002,44.580002,8920000
1957-09-17,44.639999,44.689999,42.689999,42.689999,42.689999,10050000
1957-09-24,42.980000,42.980000,42.419998,42.419998,42.419998,11010000
1957-10-01,42.759998,43.139999,42.220001,42.220001,42.220001,9040000
1957-10-08,41.950001,41.990002,40.939999,41.240002,41.240002,15840000
1957-10-15,41.669998,41.669998,39.150002,39.150002,39.150002,15070000
1957-10-22,38.980000,40.730000,38.980000,40.419998,40.419998,17920000
1957-10-29,40.689999,41.060001,40.369999,40.369999,40.369999,10530000
1957-11-05,40.430000,40.669998,40.180000,40.180000,40.180000,8810000
1957-11-12,39.599998,40.369999,39.439999,40.040001,40.040001,12240000
1957-11-19,39.810001,41.180000,39.810001,41.180000,41.180000,12990000
1957-11-26,40.090000,41.720001,40.090000,41.360001,41.360001,12150000
1957-12-03,41.369999,41.540001,40.919998,40.919998,40.919998,10880000
1957-12-10,40.560001,40.730000,40.119999,40.119999,40.119999,11590000
1957-12-17,39.419998,39.799999,39.380001,39.480000,39.480000,13600000
1957-12-24,39.520000,39.919998,39.520000,39.580002,39.580002,10870000
1957-12-31,39.990002,40.869999,39.990002,40.680000,40.680000,11810000
1958-01-07,41.000000,41.000000,40.369999,40.490002,40.490002,10500000
1958-01-14,40.669998,41.349998,40.669998,41.349998,41.349998,12550000
1958-01-21,41.299999,41.709999,41.200001,41.590000,41.590000,11610000
1958-01-28,41.630001,42.040001,41.630001,42.040001,42.040001,10920000
1958-02-04,42.459999,42.459999,41.480000,41.480000,41.480000,11780000
1958-02-11,41.110001,41.330002,40.930000,41.110001,41.110001,9790000
1958-02-18,41.169998,41.169998,40.650002,40.650002,40.650002,9080000
1958-02-25,40.610001,41.130001,40.610001,41.130001,41.130001,8860000
1958-03-04,41.349998,42.209999,41.349998,42.209999,42.209999,10610000
1958-03-11,42.509998,42.509998,42.040001,42.040001,42.040001,12170000
1958-03-18,41.889999,42.580002,41.889999,42.580002,42.580002,11770000
1958-03-25,42.439999,42.439999,42.099998,42.099998,42.099998,10320000
1958-04-01,41.930000,41.930000,41.330002,41.330002,41.330002,8680000
1958-04-08,41.430000,42.000000,41.430000,42.000000,42.000000,10470000
1958-04-15,42.430000,42.930000,42.099998,42.930000,42.930000,12580000
1958-04-22,42.799999,43.360001,42.799999,43.220001,43.220001,13450000
1958-04-29,43.000000,43.790001,43.000000,43.790001,43.790001,12680000
1958-05-06,44.009998,44.090000,43.750000,43.750000,43.750000,14210000
1958-05-13,43.619999,43.619999,43.119999,43.240002,43.240002,12410000
1958-05-20,43.610001,43.869999,43.549999,43.849998,43.849998,13100000
1958-05-27,43.790001,44.310001,43.790001,44.310001,44.310001,9560000
1958-06-03,44.459999,44.639999,44.459999,44.570000,44.570000,13130000
1958-06-10,44.480000,45.180000,44.480000,45.180000,45.180000,13690000
1958-06-17,44.939999,45.340000,44.610001,44.689999,44.689999,13210000
1958-06-24,44.520000,45.240002,44.520000,45.240002,45.240002,13810000
1958-07-01,45.279999,45.619999,45.279999,45.619999,45.619999,10110000
1958-07-08,45.400002,45.720001,45.139999,45.139999,45.139999,12510000
1958-07-15,45.110001,46.330002,45.110001,46.330002,46.330002,16300000
1958-07-22,46.410000,47.150002,46.400002,47.150002,47.150002,19080000
1958-07-29,46.959999,47.939999,46.959999,47.939999,47.939999,18810000
1958-08-05,47.750000,48.160000,47.459999,48.160000,48.160000,17370000
1958-08-12,47.730000,47.910000,47.220001,47.220001,47.220001,14110000
1958-08-19,47.299999,47.740002,47.299999,47.740002,47.740002,12480000
1958-08-26,47.900002,47.910000,47.660000,47.750000,47.750000,10960000
1958-09-02,48.000000,48.180000,47.970001,48.130001,48.130001,14820000
1958-09-09,48.459999,48.959999,48.310001,48.959999,48.959999,15740000
1958-09-16,49.349998,49.400002,49.200001,49.200001,49.200001,18560000
1958-09-23,49.560001,49.869999,49.560001,49.869999,49.869999,18660000
1958-09-30,50.060001,51.070000,49.980000,51.070000,51.070000,19090000
1958-10-07,51.070000,51.619999,51.049999,51.619999,51.619999,20080000
1958-10-14,51.259998,51.459999,50.580002,51.270000,51.270000,24400000
1958-10-21,51.270000,51.270000,50.419998,50.419998,50.419998,18870000
1958-10-28,50.580002,51.560001,50.580002,51.560001,51.560001,19980000
1958-11-04,52.029999,52.570000,52.029999,52.570000,52.570000,16400000
1958-11-11,52.980000,53.240002,52.830002,53.240002,53.240002,21610000
1958-11-18,53.130001,53.209999,52.029999,52.029999,52.029999,20950000
1958-11-25,51.020000,52.689999,51.020000,52.689999,52.689999,15950000
1958-12-02,52.459999,52.549999,52.459999,52.459999,52.459999,17360000
1958-12-09,52.820000,53.459999,52.820000,53.369999,53.369999,18860000
1958-12-16,53.570000,54.150002,53.570000,53.709999,53.709999,18340000
1958-12-23,53.419998,54.740002,53.419998,54.740002,54.740002,9710000
1958-12-30,54.930000,55.660000,54.930000,55.660000,55.660000,15460000
1959-01-06,55.590000,55.779999,54.889999,55.779999,55.779999,20940000
1959-01-13,55.470001,55.830002,55.470001,55.680000,55.680000,20520000
1959-01-20,55.720001,56.040001,55.720001,55.770000,55.770000,19450000
1959-01-27,55.779999,55.779999,55.160000,55.209999,55.209999,18350000
1959-02-03,55.279999,55.279999,53.580002,53.580002,53.580002,15670000
1959-02-10,54.320000,54.500000,54.000000,54.500000,54.500000,15140000
1959-02-17,54.290001,55.520000,54.290001,55.520000,55.520000,15020000
1959-02-24,55.480000,55.730000,55.240002,55.730000,55.730000,20560000
1959-03-03,56.250000,56.430000,56.150002,56.150002,56.150002,20330000
1959-03-10,56.310001,56.669998,56.060001,56.060001,56.060001,22070000
1959-03-17,56.520000,56.520000,55.869999,55.869999,55.869999,20880000
1959-03-24,55.959999,55.959999,55.450001,55.450001,55.450001,12120000
1959-03-31,55.439999,56.599998,55.439999,56.599998,56.599998,16210000
1959-04-07,56.480000,56.480000,56.169998,56.430000,56.430000,15250000
1959-04-14,56.709999,58.169998,56.709999,58.169998,58.169998,18270000
1959-04-21,58.110001,58.139999,57.599998,58.139999,58.139999,18030000
1959-04-28,57.919998,57.919998,57.590000,57.650002,57.650002,16980000
1959-05-05,57.750000,57.959999,56.880001,57.959999,57.959999,19790000
1959-05-12,57.959999,58.369999,57.959999,58.150002,58.150002,17230000
1959-05-19,58.320000,58.330002,58.090000,58.180000,58.180000,16240000
1959-05-26,58.090000,58.680000,58.090000,58.630001,58.630001,14340000
1959-06-02,58.230000,58.250000,56.759998,56.759998,56.759998,15010000
1959-06-09,56.360001,57.290001,56.360001,56.990002,56.990002,14910000
1959-06-16,56.560001,57.130001,56.560001,57.130001,57.130001,13330000
1959-06-23,57.119999,58.369999,57.119999,58.369999,58.369999,15130000
1959-06-30,58.470001,59.650002,58.470001,59.650002,59.650002,13680000
1959-07-07,60.009998,60.029999,59.410000,59.410000,59.410000,18370000
1959-07-14,59.549999,59.590000,58.910000,58.910000,58.910000,14690000
1959-07-21,59.410000,60.020000,59.410000,60.020000,60.020000,15200000
1959-07-28,60.320000,60.709999,60.320000,60.709999,60.709999,14570000
1959-08-04,60.610001,60.610001,58.619999,58.619999,58.619999,14540000
1959-08-11,59.389999,59.389999,59.150002,59.169998,59.169998,11670000
1959-08-18,58.619999,59.139999,58.270000,58.869999,58.869999,11640000
1959-08-25,58.990002,59.599998,58.990002,59.599998,59.599998,10790000
1959-09-01,58.869999,58.919998,58.259998,58.540001,58.540001,9430000
1959-09-08,57.700001,57.700001,56.990002,56.990002,56.990002,13720000
1959-09-15,56.680000,56.720001,55.270000,55.270000,55.270000,12870000
1959-09-22,55.139999,57.150002,55.139999,57.150002,57.150002,15410000
1959-09-29,57.509998,57.509998,56.880001,57.139999,57.139999,13100000
1959-10-06,57.090000,57.320000,56.810001,57.320000,57.320000,11510000
1959-10-13,57.160000,57.330002,56.709999,57.009998,57.009998,12270000
1959-10-20,56.660000,56.939999,56.000000,56.939999,56.939999,14990000
1959-10-27,57.419998,57.520000,57.410000,57.410000,57.410000,18850000
1959-11-03,57.259998,57.599998,57.259998,57.500000,57.500000,14260000
1959-11-10,57.480000,57.490002,56.220001,56.220001,56.220001,16200000
1959-11-17,56.380001,57.080002,56.380001,57.080002,57.080002,16820000
1959-11-24,57.349998,58.279999,57.349998,58.279999,58.279999,13900000
1959-12-01,58.700001,58.959999,58.599998,58.959999,58.959999,17970000
1959-12-08,59.340000,59.340000,58.880001,59.040001,59.040001,16480000
1959-12-15,58.900002,59.209999,58.860001,59.209999,59.209999,16280000
1959-12-22,59.139999,59.139999,58.959999,58.980000,58.980000,10970000
1959-12-29,59.299999,59.910000,59.299999,59.910000,59.910000,14500000
1960-01-05,60.389999,60.389999,58.770000,58.770000,58.770000,17510000
1960-01-12,58.410000,58.410000,57.889999,57.889999,57.889999,17210000
1960-01-19,57.270000,57.380001,56.779999,56.779999,56.779999,14000000
1960-01-26,56.860001,56.860001,55.610001,55.959999,55.959999,14030000
1960-02-02,56.820000,56.820000,55.320000,55.320000,55.320000,14580000
1960-02-09,55.840000,55.840000,55.169998,55.169998,55.169998,12920000
1960-02-16,54.730000,56.240002,54.730000,56.240002,56.240002,14510000
1960-02-23,55.939999,56.160000,55.740002,56.119999,56.119999,15670000
1960-03-01,56.009998,56.009998,54.020000,54.020000,54.020000,16150000
1960-03-08,53.470001,54.320000,53.470001,54.320000,54.320000,15600000
1960-03-15,54.740002,55.070000,54.740002,55.070000,55.070000,12910000
